"episode","Provider","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","qstarrating","urbanlocation","joinnetwork","jchaoaccredited","qieffort","reform","mdaffiliation","ownershipstatus","hospitalbedsize"
20111,010001,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,2,3,2,3,1,0,0,1,0,1,1,3
16849,010005,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,1,2,3,0,0,1,0,0,1,1,2
19273,010006,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,2,2,2,1,0,1,0,,1,1,2
16136,010007,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,1,0,2,2,0,0,0,0,,1,2,1
14654,010008,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,58.810581712,86.49612276,3,0,2,3,0,0,0,0,,1,3,1
19949,010011,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,3,1,2,1,0,1,1,1,2,2,2
15991,010012,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,0,2,3,0,,1,0,,1,3,2
20973,010016,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,2,1,3,1,0,0,0,0,1,2,2
17668,010019,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,1,2,2,1,0,1,0,,1,1,2
17657,010021,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,3,1,2,4,0,,0,0,,1,1,1
12705,010022,148,29.64,75,1.01,44.53,5.35,1.03,15.97,19.21,4.74,11.04,59.15,11.93,2.082776732539,69.743698884,106.71221407,2,0,2,4,0,0,1,0,1,1,2,1
22609,010023,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,58.810581712,86.49612276,3,3,1,3,1,0,1,1,1,2,1,3
20968,010024,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,58.810581712,86.49612276,2,2,2,3,1,0,1,0,0,1,2,2
17431,010029,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,3,3,4,1,,1,0,,1,1,2
11918,010032,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,0,3,4,0,0,0,0,,1,1,1
23535,010033,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,3,3,1,3,1,0,1,1,0,3,1,3
14322,010034,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,58.810581712,86.49612276,1,0,3,4,1,0,0,0,,1,2,1
17400,010035,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,1,2,3,0,0,1,0,0,1,1,2
15145,010036,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,71.653057535,138.02246356,3,0,2,3,0,0,0,0,0,1,3,2
15471,010038,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,0,1,3,1,,1,0,,1,3,2
21638,010039,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,68.749335603,106.48087405,2,3,3,3,1,1,1,1,0,2,1,3
19517,010040,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,2,1,2,1,0,1,0,,1,3,2
12348,010044,262,8.88,75,0.94,42.32,16.77,0.29,21.67,17.6,6.31,11.49,64.88,15.76,3.400971595751,51.696598966,89.504013771,1,0,3,5,0,,1,0,,1,2,1
14704,010045,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,66.648514235,104.62318538,1,0,3,4,0,,1,0,,1,2,1
18752,010046,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,2,1,3,1,0,1,0,0,1,3,2
11304,010047,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,58.810581712,86.49612276,2,0,2,3,0,,0,0,,1,3,1
16277,010049,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,3,0,2,3,0,,1,0,,1,3,2
12755,010051,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,66.648514235,104.62318538,3,0,3,3,1,0,0,0,0,1,1,1
12739,010052,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,0,1,3,0,1,0,0,,1,3,1
20282,010055,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,1,2,1,4,1,0,1,0,0,1,3,2
22617,010056,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,0,3,1,3,1,0,1,1,1,1,2,3
15744,010058,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,66.648514235,104.62318538,0,0,3,,1,0,0,0,,1,1,1
13093,010059,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,0,3,4,1,,0,0,,1,1,1
14147,010061,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,68.749335603,106.48087405,3,0,2,3,0,0,1,0,,1,1,2
14051,010062,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,1,0,3,3,1,0,0,0,,1,2,1
18645,010065,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,2,2,3,0,1,1,0,0,1,2,1
14715,010069,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,51.232158476,97.175523054,1,0,0,3,0,0,0,0,1,1,1,1
13834,010073,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,3,0,3,3,0,,0,0,,1,1,1
19107,010078,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,2,2,2,1,0,1,1,0,2,1,2
15810,010079,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,68.749335603,106.48087405,2,0,3,2,1,1,1,1,0,1,1,2
17468,010083,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,56.427156868,114.43308883,1,0,1,3,0,0,1,0,,1,3,2
17647,010085,005,17.44,75,0.97,42.93,9.72,0.75,10.3,18.16,5.51,9.4,70.05,12.59,2.399744334398,68.749335603,106.48087405,2,1,2,2,1,,1,0,,1,1,3
14298,010086,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,1,0,2,4,0,,1,0,,1,3,1
23117,010087,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,56.427156868,114.43308883,3,3,2,3,1,0,1,0,0,3,1,3
17721,010089,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,64.567781685,112.66459453,2,1,0,3,1,0,1,0,0,1,2,2
20097,010090,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,56.427156868,114.43308883,1,3,2,2,1,0,1,1,1,1,2,2
12891,010091,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,56.427156868,114.43308883,3,0,2,3,0,,0,0,,1,1,1
19253,010092,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,66.648514235,104.62318538,2,2,1,2,1,0,1,1,0,3,1,3
13591,010095,009,12.81,75,1,42.3,22.19,0.26,15.65,19.75,6.23,12.23,60.34,12.75,3.597471969813,66.648514235,104.62318538,3,0,2,,1,,0,0,,1,1,1
13088,010097,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,58.810581712,86.49612276,3,0,1,3,1,,0,0,,1,1,1
13177,010099,134,23.86,75,0.99,44.94,7.37,1.5,9.69,18.38,5.73,11.51,72.05,16.12,2.525021304667,71.653057535,138.02246356,3,0,1,2,0,0,1,0,0,1,1,1
19971,010100,006,35.83,75,0.95,43.79,15.15,0.73,9.93,18.24,5.08,11.48,65.94,12.04,2.593655259872,56.427156868,114.43308883,0,3,2,4,0,,1,0,,1,1,2
