"priorindex","index","postindex","episode","Provider","starrating","tracklab","surgeryregistry","nursingregistry","Total Case Mix Index-Sum of Relative Weights","Disproportionate Share Hospital Patient percent","AHA: NETWORK","AHA: MEDICAL HOME PROGRAM YES/NO","AHA: DISCHARGES, MEDICARE INPAT,","AHA: DISCHARGES, MEDICAID INPAT,","AHA: ADJUSTED ADMISSIONS","AHA: PERSONNEL, FTE, MD & DD","AHA: TOTAL PRIVILEDGE PHYSICIAN TOT PRI CAR","AHA: TOTAL PRIVILEDGE PHYSICIAN TOTAL","ownership","hospital","hrr","maadvantage","avgagehrr","avghcchrr","pctmalehrr","pctblackhrr","pcthispanichrr","pctmdcaidhrr","pctbenesusip","pctbenesusnf","pctbenesuhh","pctbenesuop","pctbenesuasc","Acute Care Hospital Beds per 1,000 Residents (2012)","FTE Hospital Employees per 1,000 Residents (2012)","Total Physicians per 100,000 Residents (2011)","Primary Care Physicians per 100,000 Residents (2011)","Total Specialists per 100,000 Residents (2011)","Medical Specialists per 100,000 Residents (2011)","Surgeons per 100,000 Residents (2011)","mdadjadmit","bundledpayment","Rank for Variable dshpct","Rank for Variable cmi","Rank for Variable mdadjadmit","mdschool","bedsize","Bed Count: Certified","urban","jchao","teaching"
704,10749,8657,20111,010001,3,No,N,Y,1.76471,0.29862,0,0,9882,2775,42326,62,175,334,public,Southeast Alabama Medical Center,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0014648207,0,2,3,2,no affiliation,large,420,1,0,0
582,9980,7386,16849,010005,3,Yes,N,N,1.3589,0.27654,0,0,2297,928,20300,13,49,142,public,Marshall Medical Center North,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0006403941,0,2,1,2,no affiliation,medium,240,0,1,0
620,10275,8378,19273,010006,2,Yes,N,N,1.6742,0.24028,0,,7648,1783,34386,27,,,public,Eliza Coffee Memorial Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0007852033,,1,2,2,no affiliation,medium,358,1,1,0
494,6400,9242,16136,010007,2,Yes,N,N,1.0283,0.19347,0,,847,188,4330,7,,,not-for-profit,Mizell Memorial Hospital,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0016166282,,1,0,2,no affiliation,small,99,0,0,0
398,5596,8660,14654,010008,3,No,N,N,0.9257,0.36918,0,,586,260,3372,3,,,for-profit,Crenshaw Community Hospital,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0008896797,,3,0,2,no affiliation,small,65,0,0,0
685,10751,8513,19949,010011,2,Yes,N,Y,1.718,0.2226,0,1,7382,2090,30251,3,70,349,not-for-profit,St. Vincent's East,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0000991703,0,1,3,1,limited/graduate,medium,362,1,1,1
572,7790,7630,15991,010012,3,Yes,N,N,1.2824,0.2832,,,1389,826,6803,5,,,for-profit,DeKalb Regional Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0007349699,,2,0,2,no affiliation,medium,134,0,1,0
666,10920,9388,20973,010016,3,Yes,N,N,1.5631,0.23648,0,0,5293,2891,21271,6,57,389,not-for-profit,Shelby Baptist Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0002820742,,1,2,1,no affiliation,medium,252,1,0,0
541,8457,8673,17668,010019,2,Yes,N,N,1.3521,0.29442,0,,3141,1526,20620,18,,,public,Helen Keller Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0008729389,,2,1,2,no affiliation,medium,185,1,1,0
465,8383,8811,17657,010021,4,Yes,N,N,1.4087,0.41098,,,986,406,5059,6,,,public,Dale Medical Center,002,17,75,0.99,43.06,15.29,0.72,18.77,18.7,5.56,12.68,69.51,14.32,3.000052658259,16.6972736977,150.50047033,51.232158476,97.175523054,30.214979655,38.287595748,0.0011860051,,3,1,2,no affiliation,small,89,0,0,0
263,6061,6382,12705,010022,4,No,N,N,0.9564,0.27254,0,0,497,191,3579,3,6,62,not-for-profit,Cherokee Medical Center,148,29.64,75,1.01,44.53,5.35,1.03,15.97,19.21,4.74,11.04,59.15,11.93,2.082776732539,16.67012650124,179.08223114,69.743698884,106.71221407,32.605409522,42.216270935,0.000838223,1,2,0,2,no affiliation,small,60,0,1,0
809,10859,10003,22609,010023,3,Yes,N,Y,1.9004,0.44145,0,1,7109,5098,35141,5,42,176,public,Baptist Medical Center South,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0001422839,0,3,3,1,limited/graduate,large,454,1,1,1
711,11065,9193,20968,010024,3,Yes,N,N,1.6868,0.2812,0,0,7092,1974,22186,38,0,10,not-for-profit,Jackson Hospital and Clinic,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0017127919,0,2,2,2,no affiliation,medium,349,1,1,0
522,10347,6563,17431,010029,4,Yes,N,N,1.735,0.2771,,,6060,2459,30514,61,,,public,East Alabama Medical Center,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0019990824,,2,3,3,no affiliation,medium,314,1,1,0
421,5350,6146,11918,010032,4,No,N,N,0.9667,0.28061,0,,247,41,1836,4,,,public,Wedowee Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0021786492,,2,0,3,no affiliation,small,34,0,0,0
813,14390,8332,23535,010033,3,Yes,Y,Y,2.16212,0.39177,0,0,18717,10159,81272,2,152,1284,public,University of Alabama Hospital,001,28.85,75,0.98,42.75,13.82,0.45,13.31,18.76,5.7,11,63.4,8.6,2.881722443213,15.16695758619,179.54716882,64.567781685,112.66459453,40.205759491,38.709881712,0.0000246087,0,3,3,1,major teaching,large,1127,1,1,1
391,7113,6818,14322,010034,4,Yes,N,N,1.2326,0.21239,0,,624,149,4291,9,,,not-for-profit,Community Hospital,007,26.22,75,0.96,42.5,24.41,0.33,11.92,17.46,5.04,10.17,67.17,10.71,2.490869662142,12.77784658305,147.67079371,58.810581712,86.49612276,30.322252309,31.062778309,0.0020974132,,1,0,3,no affiliation,small,69,1,0,0
